Film,Acteurs,Realisateur,Genre,Annee,Duree
Cliffhanger,Sylvester Stallone; John Lithgow; Michael Rooker; Janine Turner; Rex Linn,Renny Harlin,Action; Adventure; Thriller,1993,112
The World's End,Simon Pegg; Nick Frost; Martin Freeman; Eddie Marsan; Paddy Considine,Edgar Wright,Comedy; Action; Science Fiction,2013,109
The Reaping,Hilary Swank; David Morrissey; Idris Elba; AnnaSophia Robb; Stephen Rea,Stephen Hopkins,Thriller; Horror,2007,99
The City of Lost Children,Ron Perlman; Dominique Pinon; Judith Vittet; Daniel Emilfork; Jean-Claude Dreyfus,Jean-Pierre Jeunet,Fantasy; Science Fiction; Adventure,1995,108
Get Rich or Die Tryin',50 Cent; Joy Bryant; Adewale Akinnuoye-Agbaje; Omar Benson Miller; Terrence Howard,Jim Sheridan,Drama,2005,117
Wall Street: Money Never Sleeps,Michael Douglas; Shia LaBeouf; Josh Brolin; Carey Mulligan; Frank Langella,Oliver Stone,Drama; Crime,2010,133
An Affair to Remember,Cary Grant; Deborah Kerr; Richard Denning; Neva Patterson; Cathleen Nesbitt,Leo McCarey,Drama; Romance,1957,111
Nowhere to Run,Jean-Claude Van Damme; Rosanna Arquette; Kieran Culkin; Ted Levine; Tiffany Taubman,Robert Harmon,Action; Adventure; Drama; Thriller,1993,94
The Abyss,Ed Harris; Mary Elizabeth Mastrantonio; Michael Biehn; Leo Burmester; Todd Graff,James Cameron,Adventure; Action; Thriller; Science Fiction,1989,139
All Eyez on Me,Demetrius Shipp Jr.; Danai Gurira; Kat Graham; Jamal Woolard; Dominic L. Santana,Benny Boom,Drama; Music,2017,139
Dogville,Nicole Kidman; Harriet Andersson; Lauren Bacall; Jean-Marc Barr; Paul Bettany,Lars von Trier,Crime; Drama; Thriller,2003,178
The Last Castle,Robert Redford; James Gandolfini; Mark Ruffalo; Steve Burton; Delroy Lindo,Rod Lurie,Action; Drama; Thriller,2001,131
